Rank,Score,Stat,Season,lgID
7,0.016086365299396155,FP,2005,AL
8,0.014099186406670823,AVG,2005,AL
9,0.007590463389056704,G_pit,2005,AL
0,0.3798129840105801,RBI/PA,2006,AL
1,0.2279175812259476,AVG,2006,AL
2,0.08265010124955474,HR/PA,2006,AL
3,0.08053796302566814,OBP,2006,AL
4,0.04196644732981465,IP,2006,AL
5,0.034368777985044084,SB,2006,AL
6,0.03045515918301619,SLG,2006,AL
7,0.029270200351176664,FP,2006,AL
8,0.026784620918262902,R/PA,2006,AL
9,0.02462967989082095,PA,2006,AL
0,0.5547221714730461,RBI/PA,2007,AL
1,0.0837272732975933,OBP,2007,AL
2,0.06880116224952816,R/PA,2007,AL
3,0.06275841996002558,SLG,2007,AL
4,0.05034839568525169,HR/PA,2007,AL
5,0.045943340244633764,PA,2007,AL
6,0.029327949480152892,AVG,2007,AL
7,0.026182158337905836,Pos_RF,2007,AL
8,0.023402794478163288,SB,2007,AL
9,0.019085569166508082,Pos_C,2007,AL
0,0.5791499174855169,AVG,1984,NL
1,0.19721751417003816,OBP,1984,NL
2,0.05680215088119668,R/PA,1984,NL
3,0.025316030909874943,Pos_RF,1984,NL
4,0.0220615303926767,FP,1984,NL
5,0.01964100211942531,PA,1984,NL
6,0.019394855824171324,SLG,1984,NL
7,0.016675746102179704,Pos_2B,1984,NL
8,0.01173618738007187,SB,1984,NL
9,0.009641392586459845,HR/PA,1984,NL
0,0.19377837813129303,AVG,1985,NL
1,0.1927968590797959,SLG,1985,NL
2,0.11065514502338483,R/PA,1985,NL
3,0.09309548635013663,HR/PA,1985,NL
4,0.08443835225063678,PA,1985,NL
5,0.05187767598579376,OBP,1985,NL
6,0.04918267455985791,RBI/PA,1985,NL
7,0.032221236794814784,FP,1985,NL
8,0.030048763509414152,IP,1985,NL
9,0.029045299727354236,K/9,1985,NL
0,0.2322319331562584,RBI/PA,1986,NL
1,0.20072368773574126,HR/PA,1986,NL
2,0.11820110157944,OBP,1986,NL
3,0.08034684223411731,FP,1986,NL
4,0.07787810700561891,PA,1986,NL
5,0.07543290879890092,SLG,1986,NL
6,0.04782540865725271,SB,1986,NL
7,0.04419408721576557,R/PA,1986,NL
8,0.03590209769582497,Pos_1B,1986,NL
9,0.03235345510941183,AVG,1986,NL
0,0.4767792783623408,RBI/PA,1987,NL
1,0.08318290258559541,Pos_SS,1987,NL
2,0.06798650494858337,R/PA,1987,NL
3,0.061849224113689615,OBP,1987,NL
4,0.06036668118300661,AVG,1987,NL
5,0.04961540560999694,HR/PA,1987,NL
6,0.04601220588996668,Playoffs,1987,NL
7,0.04498711516847391,SLG,1987,NL
8,0.029167266528668908,SB,1987,NL
9,0.025660622168192464,Pos_1B,1987,NL
0,0.26448643727415183,HR/PA,1988,NL
1,0.20189630372665893,SLG,1988,NL
2,0.109264150522144,R/PA,1988,NL
3,0.1089032630983315,Pos_LF,1988,NL
4,0.05558618712969785,FP,1988,NL
5,0.044644659281239556,SB,1988,NL
6,0.0376076609858922,AVG,1988,NL
7,0.030189341352961818,OBP,1988,NL
8,0.02400816053146488,Pos_1B,1988,NL
9,0.02035580270500742,PA,1988,NL
0,0.1762364772165706,SLG,1989,NL
1,0.1754118060016644,RBI/PA,1989,NL
2,0.17222856019985117,PA,1989,NL
3,0.15401505708209362,R/PA,1989,NL
4,0.09212195480911257,AVG,1989,NL
5,0.04856383755047675,OBP,1989,NL
6,0.04401046391401449,HR/PA,1989,NL
7,0.03190209086045423,SB,1989,NL
8,0.020912612926191898,Pos_LF,1989,NL
9,0.01695631778707548,Pos_2B,1989,NL
0,0.1990568891806802,R/PA,1990,NL
1,0.1524598730871059,SLG,1990,NL
2,0.1299243184394808,HR/PA,1990,NL
3,0.10631111087393047,PA,1990,NL
4,0.10251137556673595,RBI/PA,1990,NL
5,0.09866905387194586,SB,1990,NL
6,0.050489993832524976,AVG,1990,NL
7,0.035582228076369724,Pos_RF,1990,NL
8,0.028436404455785907,OBP,1990,NL
9,0.017280501965728855,FP,1990,NL
0,0.2969762731625442,SLG,1991,NL
1,0.13731815618653187,AVG,1991,NL
2,0.11090756636834931,OBP,1991,NL
3,0.10076099073594852,R/PA,1991,NL
4,0.06036548330950866,PA,1991,NL
5,0.055289601183247924,SB,1991,NL
6,0.0491082362370712,RBI/PA,1991,NL
7,0.04193983762653377,HR/PA,1991,NL
8,0.04064938574816147,FP,1991,NL
9,0.034225252852716985,Playoffs,1991,NL
0,0.3345399543628678,RBI/PA,1992,NL
1,0.2176876964553318,SLG,1992,NL
2,0.14542632918812917,AVG,1992,NL
3,0.07004988532532024,Playoffs,1992,NL
4,0.06951560357129595,HR/PA,1992,NL
5,0.03616105271349333,R/PA,1992,NL
6,0.02543800273515629,SB,1992,NL
7,0.02340952476339535,Pos_3B,1992,NL
8,0.023236658428663102,OBP,1992,NL
9,0.019578306239366797,PA,1992,NL
0,0.49724432798606727,R/PA,1993,NL
1,0.26159049089381753,HR/PA,1993,NL
2,0.05137609528905002,PA,1993,NL
3,0.028080416665839925,RBI/PA,1993,NL
4,0.026904883546862223,SB,1993,NL
5,0.024681716897566305,Pos_LF,1993,NL
6,0.024265185106765542,OBP,1993,NL
7,0.018508241223208138,SLG,1993,NL
8,0.016504442637732104,AVG,1993,NL
9,0.012128370612680885,Pos_CF,1993,NL
0,0.4225116781425814,HR/PA,1994,NL
1,0.1834835992903192,SLG,1994,NL
2,0.09270730486182643,RBI/PA,1994,NL
3,0.05901323830276978,AVG,1994,NL
4,0.05306803890773131,R/PA,1994,NL
5,0.04228310564802604,OBP,1994,NL
6,0.029171602186805878,FP,1994,NL
7,0.017058430571692776,CG,1994,NL
8,0.015325683915973137,IP,1994,NL
9,0.014884216229325132,Pos_3B,1994,NL
0,0.14441530678120948,R/PA,1995,NL
1,0.12027290025933626,AVG,1995,NL
2,0.10171938818657057,RBI/PA,1995,NL
3,0.1012298590370166,HR/PA,1995,NL
4,0.08929778985957512,SLG,1995,NL
5,0.08631734335566313,SB,1995,NL
6,0.05462281908769499,Pos_SS,1995,NL
7,0.036410794225160845,PA,1995,NL
8,0.03289272155027356,CG,1995,NL
9,0.03180227893946019,IP,1995,NL
0,0.2815960199454461,AVG,1996,NL
1,0.18372070918082348,SLG,1996,NL
2,0.14628043179061495,OBP,1996,NL
3,0.11504706406197,Pos_3B,1996,NL
4,0.07721413029480505,RBI/PA,1996,NL
5,0.05528825057932825,R/PA,1996,NL
6,0.03528064663202607,HR/PA,1996,NL
7,0.033048262579351166,PA,1996,NL
8,0.024332968662581982,FP,1996,NL
9,0.023724872217127636,SB,1996,NL
0,0.3718281314196365,OBP,1997,NL
1,0.2653077142604657,SLG,1997,NL
2,0.07916596829692983,R/PA,1997,NL
3,0.07805816781081437,HR/PA,1997,NL
4,0.06357997021588986,RBI/PA,1997,NL
5,0.040127081907925743,PA,1997,NL
6,0.039629261307050696,AVG,1997,NL
7,0.016400409954658704,SB,1997,NL
8,0.012181731165047833,FP,1997,NL
9,0.007891421494640014,Pos_LF,1997,NL
0,0.31700377450045286,HR/PA,1998,NL
1,0.1735998830734684,RBI/PA,1998,NL
2,0.14794631933106842,SLG,1998,NL
3,0.07610443040226636,OBP,1998,NL
4,0.0618364002276843,R/PA,1998,NL
5,0.04749667121155207,PA,1998,NL
6,0.04314837239515274,SB,1998,NL
7,0.030371145923757715,Pos_LF,1998,NL
8,0.021816448452861653,Playoffs,1998,NL
9,0.017478091421868912,FP,1998,NL
0,0.40000103273033916,Pos_3B,1999,NL
1,0.12885502081821487,PA,1999,NL
2,0.11529179788910471,HR/PA,1999,NL
3,0.10629463348021753,OBP,1999,NL
4,0.06832743104524355,SB,1999,NL
5,0.037365019270511404,RBI/PA,1999,NL
6,0.030646976032072,R/PA,1999,NL
7,0.025710559077727044,FP,1999,NL
8,0.02349901480992436,AVG,1999,NL
9,0.022970308879017194,Pos_1B,1999,NL
0,0.23624621802305443,FP,2000,NL
1,0.1639323275163988,R/PA,2000,NL
2,0.15448347530481726,HR/PA,2000,NL
3,0.09319500268115234,SB,2000,NL
4,0.08189116453873113,PA,2000,NL
5,0.058846824932961055,Pos_2B,2000,NL
6,0.048447395995136575,SLG,2000,NL
7,0.04114457192912636,OBP,2000,NL
8,0.02875790863928558,RBI/PA,2000,NL
9,0.028483339427621136,Playoffs,2000,NL
0,0.40653877436982966,SLG,2001,NL
1,0.232140051794714,HR/PA,2001,NL
2,0.10357171923501013,PA,2001,NL
3,0.07368129808677351,RBI/PA,2001,NL
4,0.0479021530063051,OBP,2001,NL
5,0.043800528705086224,SB,2001,NL
6,0.030171504397264168,R/PA,2001,NL
7,0.01690483857515546,AVG,2001,NL
8,0.01677570889829928,FP,2001,NL
9,0.009149638362133559,Pos_1B,2001,NL
0,0.1828945727494776,R/PA,2002,NL
